battery_id,substation_id,capacity_mwh,current_charge_pct,cycle_count,health_pct
BAT-0000,SUB-0043,23.5,26.6,2025,94.6
BAT-0001,SUB-0004,49.0,28.8,2412,91.6
BAT-0002,SUB-0029,25.1,43.3,926,86.1
BAT-0003,SUB-0029,17.1,53.6,2039,84.3
BAT-0004,SUB-0016,32.0,65.6,1362,95.2
BAT-0005,SUB-0047,12.8,43.2,1510,76.2
BAT-0006,SUB-0046,4.7,51.6,2759,99.0
BAT-0007,SUB-0022,7.3,77.3,2374,91.3
BAT-0008,SUB-0014,7.3,13.3,1783,76.0
BAT-0009,SUB-0036,8.4,32.7,1655,92.1
BAT-0010,SUB-0020,7.8,74.2,1576,85.9
BAT-0011,SUB-0013,32.4,90.6,2721,91.2
BAT-0012,SUB-0001,9.9,56.1,2613,93.0
BAT-0013,SUB-0010,17.9,57.9,2940,72.6
BAT-0014,SUB-0038,44.9,19.6,2447,85.2
BAT-0015,SUB-0037,24.2,50.3,1680,98.0
BAT-0016,SUB-0033,33.7,57.9,2920,79.6
BAT-0017,SUB-0037,9.4,31.8,1210,87.8
BAT-0018,SUB-0049,10.4,34.2,808,81.1
BAT-0019,SUB-0033,3.0,44.0,2996,83.6
BAT-0020,SUB-0017,9.3,11.8,292,86.5
BAT-0021,SUB-0029,14.7,39.0,2640,86.5
BAT-0022,SUB-0014,9.7,29.0,1113,76.1
BAT-0023,SUB-0026,5.3,39.5,278,90.5
BAT-0024,SUB-0033,6.9,20.8,2645,72.6
BAT-0025,SUB-0037,23.6,90.1,969,74.2
BAT-0026,SUB-0032,11.1,63.4,1296,70.1
BAT-0027,SUB-0023,18.8,71.1,55,73.5
BAT-0028,SUB-0014,25.7,81.0,517,84.2
BAT-0029,SUB-0029,34.8,54.9,1805,88.2
BAT-0030,SUB-0041,2.9,17.8,124,93.8
BAT-0031,SUB-0016,40.2,58.3,53,73.2
BAT-0032,SUB-0004,31.8,62.8,1920,95.5
BAT-0033,SUB-0028,5.0,77.1,695,92.4
BAT-0034,SUB-0003,43.8,48.8,167,82.3
BAT-0035,SUB-0009,46.1,21.5,2978,98.0
BAT-0036,SUB-0016,4.0,35.5,1679,99.7
BAT-0037,SUB-0009,14.6,42.7,2601,76.2
BAT-0038,SUB-0016,40.5,68.1,2071,81.4
BAT-0039,SUB-0019,37.7,61.4,996,97.8
