meter_id,consumer_id,region,consumer_type,expected_monthly_kwh,actual_monthly_kwh,usage_ratio,night_usage_ratio,voltage_variance,billing_disputes_1y,is_theft_flag_ground_truth
MTR-001801,CUS-001801,Lahore,Residential,149.6,140.2,0.937,0.328,1.89,1,0
MTR-001190,CUS-001190,Rawalpindi,Residential,198.0,189.8,0.959,0.398,1.8,0,0
MTR-001817,CUS-001817,Lahore,Residential,136.0,123.1,0.905,0.275,3.09,0,0
MTR-000251,CUS-000251,Islamabad,Industrial,4540.3,903.6,0.199,0.586,2.87,1,1
MTR-002505,CUS-002505,Islamabad,Residential,197.7,202.3,1.023,0.249,2.65,1,0
MTR-001117,CUS-001117,Islamabad,Residential,239.2,240.4,1.005,0.348,2.36,2,0
MTR-001411,CUS-001411,Rawalpindi,Commercial,788.0,862.3,1.094,0.237,0.1,0,0
MTR-002113,CUS-002113,Karachi,Residential,160.3,151.3,0.944,0.229,2.87,0,0
MTR-000408,CUS-000408,Peshawar,Residential,177.4,200.7,1.132,0.295,3.0,0,0
MTR-002579,CUS-002579,Lahore,Residential,92.5,79.1,0.856,0.202,1.59,0,0
MTR-002254,CUS-002254,Multan,Residential,113.1,109.0,0.964,0.428,2.48,0,0
MTR-000052,CUS-000052,Karachi,Residential,179.9,186.8,1.038,0.454,2.27,0,0
MTR-000644,CUS-000644,Lahore,Residential,280.4,215.8,0.77,0.264,4.23,0,0
MTR-001763,CUS-001763,Islamabad,Residential,210.1,197.4,0.94,0.189,2.5,1,0
MTR-002776,CUS-002776,Rawalpindi,Residential,173.7,188.5,1.085,0.327,2.11,0,0
MTR-000900,CUS-000900,Peshawar,Residential,141.6,134.3,0.949,0.261,3.09,0,0
MTR-001073,CUS-001073,Islamabad,Commercial,870.8,680.3,0.781,0.394,3.61,0,0
MTR-000472,CUS-000472,Islamabad,Residential,251.2,224.5,0.894,0.237,4.07,0,0
MTR-002738,CUS-002738,Karachi,Residential,251.8,211.2,0.839,0.344,1.4,0,0
MTR-002546,CUS-002546,Rawalpindi,Residential,296.5,314.2,1.06,0.309,2.43,0,0
MTR-000044,CUS-000044,Multan,Residential,168.2,170.6,1.014,0.246,1.38,0,0
MTR-000289,CUS-000289,Peshawar,Residential,129.9,105.6,0.813,0.319,4.32,0,0
MTR-000912,CUS-000912,Peshawar,Residential,245.8,197.5,0.803,0.37,2.05,0,0
MTR-002083,CUS-002083,Faisalabad,Commercial,913.6,834.1,0.913,0.307,2.96,0,0
MTR-001360,CUS-001360,Rawalpindi,Residential,266.4,267.4,1.004,0.308,1.83,0,0
MTR-002895,CUS-002895,Peshawar,Residential,166.7,153.3,0.919,0.23,2.5,0,0
MTR-002603,CUS-002603,Faisalabad,Residential,127.7,133.1,1.042,0.392,0.19,0,0
MTR-001226,CUS-001226,Islamabad,Residential,140.1,145.4,1.038,0.384,3.04,1,0
MTR-000296,CUS-000296,Karachi,Residential,239.7,255.0,1.064,0.267,3.3,1,0
MTR-001241,CUS-001241,Islamabad,Industrial,4952.6,4112.6,0.83,0.29,1.41,0,0
MTR-001005,CUS-001005,Faisalabad,Industrial,3223.3,3116.6,0.967,0.413,0.19,0,0
MTR-001665,CUS-001665,Rawalpindi,Residential,187.6,211.8,1.129,0.209,3.48,1,0
MTR-000746,CUS-000746,Lahore,Residential,118.7,109.1,0.919,0.348,3.36,0,0
MTR-002851,CUS-002851,Multan,Residential,108.5,97.9,0.902,0.255,2.79,0,0
MTR-000291,CUS-000291,Rawalpindi,Residential,90.8,85.5,0.941,0.442,1.81,0,0
MTR-000781,CUS-000781,Islamabad,Residential,89.3,83.8,0.938,0.305,1.72,0,0
MTR-002144,CUS-002144,Peshawar,Residential,171.3,173.8,1.015,0.401,3.33,1,0
MTR-000322,CUS-000322,Karachi,Residential,314.6,292.6,0.93,0.239,1.68,0,0
MTR-000298,CUS-000298,Lahore,Residential,246.8,187.0,0.758,0.2,2.16,1,0
MTR-001298,CUS-001298,Faisalabad,Residential,225.3,257.3,1.142,0.281,1.99,0,0
MTR-000194,CUS-000194,Lahore,Residential,115.3,122.3,1.061,0.321,2.33,0,0
MTR-000063,CUS-000063,Faisalabad,Residential,205.6,209.3,1.018,0.259,1.89,0,0
MTR-000393,CUS-000393,Faisalabad,Residential,183.4,181.3,0.989,0.361,2.01,0,0
MTR-000727,CUS-000727,Peshawar,Commercial,628.9,604.5,0.961,0.283,3.79,0,0
MTR-001583,CUS-001583,Islamabad,Commercial,1195.9,1081.1,0.904,0.133,2.52,0,0
MTR-001547,CUS-001547,Lahore,Residential,135.1,104.7,0.775,0.344,2.38,0,0
MTR-002425,CUS-002425,Lahore,Residential,274.1,327.6,1.195,0.229,2.82,0,0
MTR-000014,CUS-000014,Lahore,Residential,77.0,77.2,1.003,0.271,0.88,1,0
MTR-002567,CUS-002567,Faisalabad,Commercial,1133.6,914.4,0.807,0.424,3.02,0,0
MTR-001600,CUS-001600,Multan,Residential,166.5,146.0,0.877,0.442,2.3,0,0
MTR-001090,CUS-001090,Rawalpindi,Residential,53.8,55.8,1.037,0.254,1.38,0,0
