plant_id,type,capacity_mw,region,commissioned_year,efficiency_pct
PLT-0000,Thermal,1304.6,Multan,1974,35.5
PLT-0001,Nuclear,450.4,Multan,1981,46.7
PLT-0002,Hydro,154.4,Islamabad,1985,53.8
PLT-0003,Thermal,524.6,Peshawar,1995,46.5
PLT-0004,Thermal,851.9,Peshawar,1995,42.8
PLT-0005,Thermal,557.3,Islamabad,2017,47.9
PLT-0006,Gas,1259.0,Peshawar,1990,44.2
PLT-0007,Thermal,480.2,Faisalabad,2008,45.9
PLT-0008,Gas,1451.4,Faisalabad,2005,53.8
PLT-0009,Hydro,740.2,Peshawar,2002,42.7
PLT-0010,Thermal,1278.8,Multan,1999,54.2
PLT-0011,Hydro,372.1,Peshawar,2006,53.1
PLT-0012,Thermal,675.9,Faisalabad,1992,38.9
PLT-0013,Nuclear,1079.3,Lahore,1979,36.4
PLT-0014,Thermal,293.7,Karachi,1974,37.0
PLT-0015,Thermal,285.8,Rawalpindi,2005,35.4
PLT-0016,Nuclear,1457.4,Lahore,2003,36.9
PLT-0017,Thermal,1100.4,Peshawar,2021,48.7
PLT-0018,Thermal,157.5,Multan,2000,36.4
PLT-0019,Hydro,658.3,Islamabad,1979,41.4
PLT-0020,Thermal,706.9,Peshawar,1988,51.9
PLT-0021,Gas,1141.7,Multan,2001,35.5
PLT-0022,Thermal,451.2,Karachi,1970,51.3
PLT-0023,Hydro,358.1,Peshawar,1974,40.6
PLT-0024,Hydro,213.2,Faisalabad,2014,37.4
PLT-0025,Nuclear,699.6,Islamabad,1973,48.9
PLT-0026,Thermal,1063.9,Multan,1985,47.6
PLT-0027,Thermal,181.5,Multan,1993,52.5
PLT-0028,Coal,1381.3,Multan,1985,49.7
PLT-0029,Gas,719.3,Karachi,1971,51.1
