meter_id,consumer_id,transformer_id,meter_type,install_date
MTR-000000,CUS-000000,TRF-00147,Smart,2026-05-28
MTR-000001,CUS-000001,TRF-00363,Smart,2022-04-16
MTR-000002,CUS-000002,TRF-00158,Smart-Prepaid,2023-02-25
MTR-000003,CUS-000003,TRF-00323,Smart,2019-01-10
MTR-000004,CUS-000004,TRF-00473,Smart,2023-07-04
MTR-000005,CUS-000005,TRF-00267,Smart-Prepaid,2022-07-17
MTR-000006,CUS-000006,TRF-00149,Smart,2022-01-22
MTR-000007,CUS-000007,TRF-00128,Smart,2026-02-25
MTR-000008,CUS-000008,TRF-00125,Smart,2019-12-18
MTR-000009,CUS-000009,TRF-00000,Smart,2023-01-15
MTR-000010,CUS-000010,TRF-00386,Smart-Prepaid,2023-01-12
MTR-000011,CUS-000011,TRF-00116,Smart,2019-01-23
MTR-000012,CUS-000012,TRF-00459,Smart,2021-05-11
MTR-000013,CUS-000013,TRF-00148,Smart,2025-06-23
MTR-000014,CUS-000014,TRF-00268,Smart-Prepaid,2019-10-11
MTR-000015,CUS-000015,TRF-00188,Smart,2024-01-03
MTR-000016,CUS-000016,TRF-00140,Smart,2019-02-15
MTR-000017,CUS-000017,TRF-00104,Smart,2024-04-18
MTR-000018,CUS-000018,TRF-00465,Smart,2023-02-12
MTR-000019,CUS-000019,TRF-00251,Smart,2026-02-08
MTR-000020,CUS-000020,TRF-00416,Smart,2024-05-14
MTR-000021,CUS-000021,TRF-00389,Smart,2024-04-03
MTR-000022,CUS-000022,TRF-00280,Smart,2022-06-29
MTR-000023,CUS-000023,TRF-00406,Smart,2024-03-07
MTR-000024,CUS-000024,TRF-00343,Smart,2026-01-26
MTR-000025,CUS-000025,TRF-00100,Smart-Prepaid,2026-06-01
MTR-000026,CUS-000026,TRF-00281,Smart,2020-04-23
MTR-000027,CUS-000027,TRF-00387,Smart,2022-03-09
MTR-000028,CUS-000028,TRF-00357,Smart,2022-11-14
MTR-000029,CUS-000029,TRF-00162,Smart,2023-12-13
MTR-000030,CUS-000030,TRF-00496,Smart,2021-03-22
MTR-000031,CUS-000031,TRF-00202,Smart-Prepaid,2023-02-13
MTR-000032,CUS-000032,TRF-00099,Smart,2025-07-17
MTR-000033,CUS-000033,TRF-00280,Smart-Prepaid,2026-02-05
MTR-000034,CUS-000034,TRF-00403,Smart-Prepaid,2019-10-01
MTR-000035,CUS-000035,TRF-00256,Smart,2022-11-17
MTR-000036,CUS-000036,TRF-00093,Smart-Prepaid,2024-01-01
MTR-000037,CUS-000037,TRF-00323,Smart,2021-02-04
MTR-000038,CUS-000038,TRF-00278,Smart,2018-08-29
MTR-000039,CUS-000039,TRF-00226,Smart,2023-06-07
MTR-000040,CUS-000040,TRF-00361,Smart,2024-03-30
MTR-000041,CUS-000041,TRF-00149,Smart-Prepaid,2021-06-11
MTR-000042,CUS-000042,TRF-00350,Smart-Prepaid,2019-07-22
MTR-000043,CUS-000043,TRF-00061,Smart-Prepaid,2026-05-06
MTR-000044,CUS-000044,TRF-00128,Smart,2023-06-20
MTR-000045,CUS-000045,TRF-00186,Smart,2022-10-20
MTR-000046,CUS-000046,TRF-00067,Smart,2024-05-22
MTR-000047,CUS-000047,TRF-00402,Smart,2024-05-28
MTR-000048,CUS-000048,TRF-00029,Smart,2020-07-29
MTR-000049,CUS-000049,TRF-00384,Smart,2023-05-15
MTR-000050,CUS-000050,TRF-00303,Smart,2024-08-12
MTR-000051,CUS-000051,TRF-00274,Smart,2020-01-10
MTR-000052,CUS-000052,TRF-00126,Smart,2020-01-16
MTR-000053,CUS-000053,TRF-00435,Smart,2023-10-01
MTR-000054,CUS-000054,TRF-00212,Smart-Prepaid,2022-07-11
MTR-000055,CUS-000055,TRF-00405,Smart,2019-07-21
MTR-000056,CUS-000056,TRF-00305,Smart,2019-04-24
MTR-000057,CUS-000057,TRF-00449,Smart-Prepaid,2026-02-05
MTR-000058,CUS-000058,TRF-00133,Smart-Prepaid,2023-02-25
MTR-000059,CUS-000059,TRF-00447,Smart-Prepaid,2026-02-13
MTR-000060,CUS-000060,TRF-00404,Smart,2021-09-03
MTR-000061,CUS-000061,TRF-00480,Smart,2021-10-31
