substation_id,region,capacity_mva,num_transformers,lat,lon,commissioned_year
SUB-0000,Faisalabad,174.8,14,32.7146,73.1001,2017
SUB-0001,Karachi,142.5,9,32.0367,68.7266,1998
SUB-0002,Peshawar,101.1,11,25.8657,67.5854,2005
SUB-0003,Faisalabad,22.4,10,32.9256,66.3466,2004
SUB-0004,Lahore,189.6,14,29.3934,71.0226,1992
SUB-0005,Peshawar,121.4,4,32.0744,71.7593,1991
SUB-0006,Peshawar,89.4,3,32.9609,66.141,1987
SUB-0007,Faisalabad,22.9,9,27.18,70.3528,2001
SUB-0008,Rawalpindi,61.6,9,25.1005,67.9252,2017
SUB-0009,Lahore,63.4,10,26.2794,71.484,1996
SUB-0010,Faisalabad,143.0,7,28.2711,67.4821,2006
SUB-0011,Lahore,129.8,5,32.1801,71.873,2006
SUB-0012,Lahore,170.0,14,32.6073,69.2873,2014
SUB-0013,Peshawar,51.2,10,24.0695,73.9622,2022
SUB-0014,Karachi,90.4,8,29.1075,67.1689,2022
SUB-0015,Lahore,52.8,13,28.1741,68.8991,1992
SUB-0016,Multan,156.0,5,26.2211,66.9645,2011
SUB-0017,Peshawar,96.5,3,25.1987,73.8599,2011
SUB-0018,Rawalpindi,57.4,5,27.3762,73.4574,2018
SUB-0019,Karachi,122.2,7,33.4291,68.1925,2005
SUB-0020,Multan,25.6,5,27.232,71.6099,2014
SUB-0021,Multan,171.6,3,29.1879,72.9464,2017
SUB-0022,Rawalpindi,101.0,7,31.0302,70.7192,2012
SUB-0023,Karachi,91.1,12,27.6363,70.502,2017
SUB-0024,Peshawar,186.8,9,33.7178,68.0557,1989
SUB-0025,Islamabad,150.9,9,33.6245,66.7914,2003
SUB-0026,Karachi,78.8,13,26.5178,73.6263,1988
SUB-0027,Rawalpindi,122.7,11,28.9725,73.6536,2019
SUB-0028,Multan,113.8,12,27.0088,71.3814,2001
SUB-0029,Peshawar,193.0,12,26.8484,68.8818,2012
SUB-0030,Karachi,172.0,14,24.3689,68.9683,2014
SUB-0031,Islamabad,154.5,5,30.0956,72.1706,2013
SUB-0032,Islamabad,117.1,9,29.0268,73.6254,1990
SUB-0033,Lahore,125.6,3,24.5148,73.5402,2019
SUB-0034,Lahore,193.7,6,26.7865,72.6289,2021
SUB-0035,Faisalabad,129.3,6,33.0827,71.4573,2008
SUB-0036,Rawalpindi,69.7,7,26.3956,66.7152,2013
SUB-0037,Karachi,73.3,9,25.4489,67.3738,2015
SUB-0038,Karachi,49.7,9,28.8945,73.6377,2019
SUB-0039,Faisalabad,22.8,13,33.8565,71.1546,2017
SUB-0040,Multan,96.2,6,26.4206,66.0782,2005
SUB-0041,Multan,91.1,9,30.7214,66.8625,2016
SUB-0042,Faisalabad,72.8,13,31.6162,71.6398,2007
SUB-0043,Multan,22.5,5,26.3764,66.043,2017
SUB-0044,Lahore,55.8,8,31.2822,67.3669,1987
SUB-0045,Karachi,148.0,14,27.6778,70.6642,2002
SUB-0046,Faisalabad,162.2,4,30.3231,71.8811,2009
SUB-0047,Karachi,129.1,12,30.3353,71.5417,2015
SUB-0048,Islamabad,186.7,11,29.3577,67.9063,1987
SUB-0049,Lahore,137.2,7,24.9029,72.0535,2008
