transformer_id,substation_id,capacity_kva,age_years,load_factor,temperature_c,vibration_mm_s,oil_quality_index,past_failures_5y,health_score,failed_last_year
TRF-00000,SUB-0025,1500,21,0.669,71.1,2.1,73.8,1,73.4,0
TRF-00001,SUB-0032,500,28,0.684,47.7,2.66,60.7,2,67.9,0
TRF-00002,SUB-0010,100,7,0.505,36.2,2.32,81.9,0,100.0,0
TRF-00003,SUB-0009,1500,10,0.522,57.9,0.51,73.4,1,96.2,0
TRF-00004,SUB-0024,1500,36,0.657,61.1,3.74,60.1,7,19.6,1
TRF-00005,SUB-0036,250,13,0.555,65.5,1.86,58.1,0,87.2,0
TRF-00006,SUB-0047,500,29,0.786,76.8,1.89,63.3,3,50.1,0
TRF-00007,SUB-0042,500,34,0.655,71.6,2.85,65.3,3,44.8,0
TRF-00008,SUB-0037,2000,20,0.93,73.1,2.49,73.1,0,77.6,0
TRF-00009,SUB-0040,100,36,0.773,69.7,3.68,39.1,3,35.4,1
TRF-00010,SUB-0044,250,4,0.816,62.1,2.3,79.0,3,81.5,0
TRF-00011,SUB-0023,100,18,0.67,59.0,3.29,47.5,1,72.2,0
TRF-00012,SUB-0039,2000,13,0.674,64.5,1.51,74.8,1,86.5,0
TRF-00013,SUB-0045,1000,25,0.91,64.5,2.61,54.5,1,67.2,0
TRF-00014,SUB-0032,1500,3,0.593,59.8,1.17,100.0,0,100.0,0
TRF-00015,SUB-0016,100,24,0.732,60.2,2.56,67.4,1,73.0,0
TRF-00016,SUB-0023,1500,24,0.61,71.9,2.39,77.6,0,75.9,0
TRF-00017,SUB-0036,250,17,0.61,51.6,2.21,100.0,2,85.6,0
TRF-00018,SUB-0001,1000,39,0.475,66.5,2.66,44.3,1,51.4,0
TRF-00019,SUB-0031,250,7,0.539,72.8,2.73,82.3,1,84.3,0
TRF-00020,SUB-0023,1000,38,0.511,55.0,1.47,39.4,3,49.8,0
TRF-00021,SUB-0008,1000,39,0.739,40.8,2.06,61.8,3,58.1,0
TRF-00022,SUB-0003,1500,13,0.806,63.3,2.23,98.7,2,83.0,0
TRF-00023,SUB-0016,250,31,0.636,61.2,1.68,52.0,1,66.7,0
TRF-00024,SUB-0016,250,37,0.684,78.2,2.78,44.5,3,34.9,1
TRF-00025,SUB-0049,100,32,0.627,63.0,2.6,59.4,3,50.7,0
TRF-00026,SUB-0047,250,22,0.528,54.3,1.32,97.5,0,94.8,0
TRF-00027,SUB-0029,100,14,0.779,58.3,1.12,83.2,0,97.9,0
TRF-00028,SUB-0039,500,32,0.748,77.7,0.54,47.2,2,55.1,0
TRF-00029,SUB-0010,500,24,0.366,69.1,1.5,87.4,2,70.8,0
TRF-00030,SUB-0020,500,16,0.608,30.6,2.33,45.6,0,97.6,0
TRF-00031,SUB-0020,2000,32,0.518,66.8,2.76,92.8,0,72.8,0
