line_id,from_substation,to_substation,voltage_kv,length_km,capacity_mw,current_load_pct
LN-0000,SUB-0034,SUB-0013,132,271.6,106.1,22.0
LN-0001,SUB-0029,SUB-0043,500,111.2,582.8,29.8
LN-0002,SUB-0000,SUB-0001,132,32.6,681.0,84.9
LN-0003,SUB-0004,SUB-0010,500,290.6,236.3,66.8
LN-0004,SUB-0015,SUB-0036,132,121.4,573.5,55.3
LN-0005,SUB-0035,SUB-0013,220,254.8,90.3,84.5
LN-0006,SUB-0014,SUB-0046,500,15.7,408.5,39.2
LN-0007,SUB-0048,SUB-0019,500,109.1,764.0,45.3
LN-0008,SUB-0016,SUB-0034,220,179.1,453.5,80.3
LN-0009,SUB-0012,SUB-0026,500,158.2,358.1,66.1
LN-0010,SUB-0023,SUB-0048,132,218.9,54.4,36.3
LN-0011,SUB-0042,SUB-0005,500,265.1,241.9,89.7
LN-0012,SUB-0047,SUB-0006,132,228.1,371.4,97.6
LN-0013,SUB-0003,SUB-0044,132,94.4,333.1,31.3
LN-0014,SUB-0046,SUB-0000,220,290.9,379.2,43.1
LN-0015,SUB-0043,SUB-0012,220,275.9,67.7,78.5
LN-0016,SUB-0045,SUB-0037,220,189.8,448.4,29.6
LN-0017,SUB-0012,SUB-0016,132,154.0,238.5,56.2
LN-0018,SUB-0008,SUB-0037,500,155.9,350.5,37.0
LN-0019,SUB-0025,SUB-0035,132,221.1,714.8,71.8
LN-0020,SUB-0046,SUB-0037,500,146.1,671.1,48.1
LN-0021,SUB-0015,SUB-0000,132,296.0,348.5,86.2
LN-0022,SUB-0041,SUB-0000,220,213.7,90.5,55.7
LN-0023,SUB-0036,SUB-0018,220,73.0,716.7,61.8
LN-0024,SUB-0042,SUB-0029,132,198.2,349.2,89.3
LN-0025,SUB-0005,SUB-0012,500,146.4,409.7,79.9
LN-0026,SUB-0010,SUB-0006,132,49.6,114.3,83.1
LN-0027,SUB-0001,SUB-0042,220,156.6,569.4,21.0
LN-0028,SUB-0029,SUB-0019,220,258.0,584.1,71.3
LN-0029,SUB-0018,SUB-0043,220,9.3,356.5,56.3
LN-0030,SUB-0022,SUB-0008,500,255.7,716.7,88.9
LN-0031,SUB-0046,SUB-0012,132,206.2,86.5,23.0
LN-0032,SUB-0011,SUB-0038,500,218.2,280.7,85.9
LN-0033,SUB-0038,SUB-0019,132,268.0,205.1,30.6
LN-0034,SUB-0005,SUB-0024,132,283.2,573.4,66.2
LN-0035,SUB-0042,SUB-0004,220,90.0,203.5,76.7
LN-0036,SUB-0035,SUB-0047,220,275.9,577.0,35.4
LN-0037,SUB-0045,SUB-0049,500,66.5,647.4,33.0
LN-0038,SUB-0041,SUB-0024,220,45.0,637.4,73.2
LN-0039,SUB-0014,SUB-0011,132,167.3,71.0,33.0
LN-0040,SUB-0035,SUB-0025,220,278.4,747.9,60.0
LN-0041,SUB-0012,SUB-0021,132,18.2,586.0,40.5
LN-0042,SUB-0007,SUB-0000,500,159.4,659.6,22.5
LN-0043,SUB-0024,SUB-0007,220,204.2,534.3,25.2
LN-0044,SUB-0023,SUB-0035,220,224.1,446.8,30.3
LN-0045,SUB-0030,SUB-0048,132,152.2,533.5,62.5
LN-0046,SUB-0039,SUB-0002,220,173.3,320.1,36.5
LN-0047,SUB-0012,SUB-0021,500,137.2,393.4,86.3
LN-0048,SUB-0028,SUB-0049,500,217.5,584.3,22.1
LN-0049,SUB-0031,SUB-0039,220,115.0,550.7,71.4
LN-0050,SUB-0042,SUB-0020,132,85.6,495.2,27.0
LN-0051,SUB-0036,SUB-0020,500,80.3,86.9,89.4
LN-0052,SUB-0017,SUB-0030,220,196.7,265.8,23.2
LN-0053,SUB-0025,SUB-0000,220,277.5,502.6,31.2
LN-0054,SUB-0017,SUB-0040,500,83.5,397.7,41.7
LN-0055,SUB-0033,SUB-0026,132,76.5,303.6,27.8
LN-0056,SUB-0030,SUB-0001,220,215.3,587.8,91.1
LN-0057,SUB-0014,SUB-0028,220,4.7,340.3,30.3
LN-0058,SUB-0036,SUB-0041,132,250.6,731.3,26.5
LN-0059,SUB-0019,SUB-0045,132,115.0,448.8,24.7
LN-0060,SUB-0027,SUB-0000,220,270.7,412.6,82.9
LN-0061,SUB-0003,SUB-0041,132,213.2,302.9,70.7
LN-0063,SUB-0017,SUB-0034,132,53.0,57.2,75.0
LN-0064,SUB-0031,SUB-0044,220,110.5,557.7,95.5
LN-0065,SUB-0022,SUB-0034,132,85.6,99.0,79.9
LN-0066,SUB-0014,SUB-0006,500,215.1,293.8,49.8
LN-0067,SUB-0043,SUB-0022,500,8.8,706.7,42.6
LN-0068,SUB-0006,SUB-0022,132,186.5,408.6,42.8
LN-0069,SUB-0047,SUB-0042,500,260.7,712.5,44.4
LN-0070,SUB-0030,SUB-0045,132,15.0,96.1,34.5
LN-0071,SUB-0031,SUB-0038,132,88.6,682.5,50.7
LN-0072,SUB-0039,SUB-0018,500,64.0,748.6,28.6
LN-0073,SUB-0013,SUB-0014,220,299.4,735.2,43.2
LN-0074,SUB-0018,SUB-0007,132,295.7,302.4,33.7
LN-0075,SUB-0049,SUB-0032,132,39.0,121.3,91.7
LN-0076,SUB-0039,SUB-0034,500,60.0,736.3,56.0
LN-0077,SUB-0015,SUB-0039,500,8.8,168.0,84.2
LN-0078,SUB-0008,SUB-0012,132,170.7,459.5,65.9
LN-0079,SUB-0000,SUB-0049,500,206.4,355.6,66.7
LN-0080,SUB-0024,SUB-0030,220,197.0,768.4,20.2
LN-0081,SUB-0007,SUB-0006,220,79.5,362.0,21.0
LN-0082,SUB-0038,SUB-0019,220,62.6,327.7,41.7
LN-0083,SUB-0031,SUB-0037,132,18.6,490.1,24.6
LN-0085,SUB-0012,SUB-0035,500,75.2,389.1,68.2
LN-0086,SUB-0002,SUB-0013,132,28.4,426.9,75.3
LN-0087,SUB-0001,SUB-0029,132,107.6,123.8,67.8
LN-0088,SUB-0044,SUB-0008,500,46.2,751.2,63.2
LN-0089,SUB-0027,SUB-0012,132,152.9,237.8,26.3
LN-0090,SUB-0003,SUB-0011,500,46.4,477.6,30.0
LN-0091,SUB-0022,SUB-0001,500,296.6,76.6,23.2
LN-0092,SUB-0033,SUB-0037,132,102.0,271.8,83.4
LN-0093,SUB-0006,SUB-0020,132,143.5,566.5,45.2
LN-0094,SUB-0029,SUB-0028,132,179.8,393.0,51.4
LN-0095,SUB-0008,SUB-0019,132,255.5,597.6,68.7
LN-0096,SUB-0018,SUB-0049,132,284.5,166.6,95.6
LN-0098,SUB-0022,SUB-0014,500,128.2,384.3,29.2
LN-0099,SUB-0010,SUB-0032,220,47.0,454.1,90.4
LN-0100,SUB-0012,SUB-0006,132,58.5,243.2,37.9
LN-0101,SUB-0028,SUB-0002,500,217.2,304.4,81.7
LN-0102,SUB-0030,SUB-0022,500,131.7,540.9,78.3
LN-0103,SUB-0007,SUB-0021,500,253.0,306.3,52.4
LN-0104,SUB-0045,SUB-0038,500,159.7,588.9,60.7
LN-0105,SUB-0018,SUB-0012,132,86.2,264.4,37.8
LN-0106,SUB-0004,SUB-0008,500,204.4,624.1,74.8
LN-0107,SUB-0047,SUB-0033,220,142.9,556.2,96.4
LN-0108,SUB-0026,SUB-0011,132,267.3,209.1,53.3
LN-0109,SUB-0038,SUB-0033,220,112.8,87.5,97.8
LN-0110,SUB-0013,SUB-0044,220,77.9,747.7,39.7
LN-0111,SUB-0021,SUB-0032,500,133.0,226.4,29.4
LN-0112,SUB-0021,SUB-0049,220,255.0,482.9,97.9
LN-0113,SUB-0004,SUB-0034,132,247.7,273.4,49.3
LN-0114,SUB-0015,SUB-0027,500,268.3,543.6,87.0
LN-0116,SUB-0025,SUB-0002,132,100.4,105.7,69.0
