farm_id,capacity_mw,region,turbine_count,lat,lon
WND-0000,134.6,Karachi,54,33.6991,68.1025
WND-0001,73.8,Peshawar,49,32.4212,69.8296
WND-0002,96.8,Peshawar,9,32.3833,67.0979
WND-0003,48.8,Multan,59,28.6869,74.1094
WND-0004,36.3,Lahore,37,28.1482,71.1525
WND-0005,74.9,Peshawar,58,26.7341,67.9435
WND-0006,59.5,Multan,5,24.5638,71.7095
WND-0007,91.7,Rawalpindi,22,32.6472,71.2541
WND-0008,20.9,Lahore,36,32.129,69.0444
WND-0009,146.4,Peshawar,51,33.9972,66.9652
WND-0010,148.1,Faisalabad,53,33.9664,71.7084
WND-0011,107.7,Islamabad,15,29.5543,70.4226
WND-0012,85.1,Rawalpindi,25,31.6899,72.5647
WND-0013,53.3,Rawalpindi,30,33.4477,70.4214
WND-0014,123.9,Multan,29,32.4965,73.2435
